Agent,WebArena,WorkArena-L1,WorkArena-L2,WorkArena-L3,MiniWoB,WebLINX,VisualWebArena,AssistantBench
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-AgentTrek-1.0-32b/README.md"" target=""_blank"">GenericAgent-AgentTrek-1.0-32b</a>",22.40,38.29,2.98,0.00,60.00,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-Claude-3.5-Sonnet/README.md"" target=""_blank"">GenericAgent-Claude-3.5-Sonnet</a>",36.20,56.40,39.10,0.40,69.80,13.70,21.00,5.20
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-Claude-3.7-Sonnet/README.md"" target=""_blank"">GenericAgent-Claude-3.7-Sonnet</a>",44.60,-,-,-,-,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-Claude-4-Sonnet/README.md"" target=""_blank"">GenericAgent-Claude-4-Sonnet</a>",-,63.30,40.40,-,70.70,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-4.1-Mini/README.md"" target=""_blank"">GenericAgent-GPT-4.1-Mini</a>",30.70,-,-,-,-,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-4o/README.md"" target=""_blank"">GenericAgent-GPT-4o</a>",31.40,45.50,8.50,0.00,63.80,12.50,26.70,4.80
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-4o-mini/README.md"" target=""_blank"">GenericAgent-GPT-4o-mini</a>",17.40,27.00,1.30,0.00,56.60,11.60,16.90,2.10
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-5/README.md"" target=""_blank"">GenericAgent-GPT-5</a>",-,79.10,69.40,11.50,71.50,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-5-mini/README.md"" target=""_blank"">GenericAgent-GPT-5-mini</a>",-,60.60,47.70,-,71.00,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-5-nano/README.md"" target=""_blank"">GenericAgent-GPT-5-nano</a>",-,40.60,3.40,-,64.80,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-o1-mini/README.md"" target=""_blank"">GenericAgent-GPT-o1-mini</a>",28.60,56.70,14.90,0.00,67.80,12.50,-,6.90
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-oss-120b/README.md"" target=""_blank"">GenericAgent-GPT-oss-120b</a>",-,50.90,11.50,-,66.40,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-GPT-oss-20b/README.md"" target=""_blank"">GenericAgent-GPT-oss-20b</a>",-,38.50,2.60,-,64.00,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-Llama-3.1-405b/README.md"" target=""_blank"">GenericAgent-Llama-3.1-405b</a>",24.00,43.30,7.20,0.00,64.60,7.90,-,3.90
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-Llama-3.1-70b/README.md"" target=""_blank"">GenericAgent-Llama-3.1-70b</a>",18.40,27.90,2.10,0.00,57.60,8.90,-,2.80
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/GenericAgent-o3-mini/README.md"" target=""_blank"">GenericAgent-o3-mini</a>",-,48.20,-,-,-,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/OrbyAgent-ActIO-72b/README.md"" target=""_blank"">OrbyAgent-ActIO-72b</a>",34.70,-,-,-,64.20,-,-,-
"<a href=""https://huggingface.co/spaces/ServiceNow/browsergym-leaderboard/blob/main/results/OrbyAgent-Claude-3.5-Sonnet/README.md"" target=""_blank"">OrbyAgent-Claude-3.5-Sonnet</a>",36.50,-,-,-,74.90,-,-,-
